Date,Publisher,Campaign,Status,Average Position,Quality Score,Impressions,Clicks,Publication Cost (USD),Average Bid USD,Average CPC USD,Daily Budget USD,Application Starts,Application Submissions,New Account Conversions,Impression share,Non-Budget Impression Share Lost,Budget Impression Share Lost,Comments
01/01/14,Google,BA,Active,1.3,9.2,"1,275",218, $37.79 , $2.86 , $0.17 , $650.00 ,11,0,0,54.00%,3.81%,42.19%,
01/02/14,Google,BA,Active,1.3,9.2,"3,733",550, $102.15 , $2.89 , $0.19 , $650.00 ,30,6,4,87.57%,5.61%,6.83%,
01/03/14,Google,BA,Active,1.3,9.3,"3,796",576, $98.46 , $2.89 , $0.17 , $650.00 ,32,4,2,91.94%,7.85%,0.22%,
01/04/14,Google,BA,Active,1.3,9.2,"2,717",424, $77.50 , $2.98 , $0.18 , $650.00 ,35,6,3,92.70%,7.30%,0.00%,
01/05/14,Google,BA,Active,1.3,9.2,"2,731",402, $72.81 , $2.90 , $0.18 , $650.00 ,40,6,3,91.95%,8.05%,0.00%,
01/06/14,Google,BA,Active,1.3,9.3,"4,099",581, $97.99 , $3.04 , $0.17 , $650.00 ,28,4,2,92.86%,7.14%,0.00%,
01/07/14,Google,BA,Active,1.3,9.2,"3,871",540, $102.60 , $2.89 , $0.19 , $650.00 ,46,4,0,91.43%,8.57%,0.00%,
01/08/14,Google,BA,Active,1.3,9.4,"3,466",470, $97.58 , $3.19 , $0.21 , $650.00 ,8,3,1,92.08%,7.92%,0.00%,
01/09/14,Google,BA,Active,1.3,9.4,"3,391",467, $75.36 , $3.07 , $0.16 , $650.00 ,24,4,2,92.22%,7.78%,0.00%,
01/10/14,Google,BA,Active,1.3,9.4,"3,194",456, $84.51 , $3.28 , $0.19 , $650.00 ,17,4,4,93.26%,6.74%,0.00%,
01/11/14,Google,BA,Active,1.4,9.3,"2,449",364, $55.36 , $3.35 , $0.15 , $650.00 ,0,0,0,93.65%,6.35%,0.00%,
01/12/14,Google,BA,Active,1.2,9.4,"2,422",387, $85.27 , $3.26 , $0.22 , $650.00 ,10,3,2,93.55%,6.45%,0.00%,
01/13/14,Google,BA,Active,1.1,9.3,"3,701",497, $96.03 , $4.57 , $0.19 , $650.00 ,36,9,2,93.81%,6.19%,0.00%,
01/14/14,Google,BA,Active,1.1,9.2,"3,762",458, $133.44 , $4.87 , $0.29 , $650.00 ,33,7,1,95.58%,4.42%,0.00%,
01/15/14,Google,BA,Active,1.1,9.2,"3,813",487, $191.56 , $5.05 , $0.39 , $650.00 ,19,6,5,95.54%,4.46%,0.00%,
01/16/14,Google,BA,Active,1.1,9.3,"3,285",424, $144.70 , $4.74 , $0.34 , $650.00 ,28,7,4,95.83%,4.17%,0.00%,
01/17/14,Google,BA,Active,1.1,9.2,"3,211",355, $153.94 , $5.08 , $0.43 , $650.00 ,23,4,1,95.71%,4.29%,0.00%,
01/18/14,Google,BA,Active,1.1,9.2,"2,532",297, $160.92 , $6.00 , $0.54 , $650.00 ,17,6,3,96.42%,3.58%,0.00%,
01/19/14,Google,BA,Active,1.1,9.2,"2,522",332, $96.31 , $4.62 , $0.29 , $650.00 ,14,7,4,95.64%,4.36%,0.00%,
01/20/14,Google,BA,Active,1.1,9.2,"3,680",479, $100.81 , $5.55 , $0.21 , $650.00 ,27,6,3,95.96%,4.04%,0.00%,
01/21/14,Google,BA,Active,1.1,9.3,"3,685",491, $90.67 , $4.92 , $0.18 , $650.00 ,25,4,1,95.59%,4.41%,0.00%,
01/22/14,Google,BA,Active,1.1,9.3,"3,514",424, $147.65 , $4.97 , $0.35 , $650.00 ,21,4,3,95.20%,4.80%,0.00%,
01/23/14,Google,BA,Active,1.1,9.3,"3,531",421, $134.11 , $5.87 , $0.32 , $650.00 ,22,5,3,95.12%,4.88%,0.00%,
01/24/14,Google,BA,Active,1.1,9.3,"3,207",415, $177.50 , $5.14 , $0.43 , $650.00 ,25,5,4,95.48%,4.52%,0.00%,
01/25/14,Google,BA,Active,1.1,9.3,"2,467",321, $124.00 , $4.61 , $0.39 , $650.00 ,8,3,2,95.40%,4.60%,0.00%,
01/26/14,Google,BA,Active,1.1,9.3,"2,616",337, $120.09 , $5.42 , $0.36 , $650.00 ,25,7,3,95.44%,4.56%,0.00%,
01/27/14,Google,BA,Active,1.1,9.3,"4,340",609, $163.23 , $4.43 , $0.27 , $650.00 ,23,7,4,96.04%,3.96%,0.00%,
01/28/14,Google,BA,Active,1.2,9.3,"4,190",517, $178.64 , $5.44 , $0.35 , $650.00 ,33,9,4,95.60%,4.40%,0.00%,
