Respondent,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,Question 11,Question 12,Question 13,Question 14,Question 15,Question 16,Question 17,Question 18,Question 19,Question 20
1,2,3,2,1,3,2,1,3,3,3,2,4,3,3,2,2,1,3,2,1
2,2,3,2,1,2,3,1,3,1,3,4,4,2,1,3,2,1,3,1,1
3,2,3,2,1,2,,1,2,1,3,4,1,2,1,2,2,1,1,1,1
4,3,3,2,1,2,2,3,2,2,2,4,3,3,1,3,2,3,3,2,1
5,3,1,2,1,2,2,1,1,1,3,1,4,3,1,2,2,1,1,1,2
6,3,3,2,1,2,2,3,2,1,3,1,4,3,1,2,2,1,1,2,2
7,2,,2,1,2,3,,3,1,3,4,4,2,3,3,1,3,1,3,2
8,3,,2,1,2,3,,2,1,3,4,4,2,3,2,2,3,1,1,3
9,2,3,2,1,2,3,1,3,3,3,4,4,3,3,3,2,1,1,1,1
10,2,,2,1,3,3,3,3,1,2,4,4,2,3,3,2,1,1,3,2
11,2,,2,1,2,,3,3,1,3,4,1,3,1,2,2,1,1,1,1
12,3,,2,1,2,3,,3,1,3,1,4,2,3,3,2,1,1,1,1
13,3,3,2,1,2,3,3,2,1,3,2,1,1,1,1,2,4,4,3,1
14,2,1,2,1,2,2,1,3,3,3,2,4,1,1,2,2,1,1,1,1
15,3,,2,1,2,2,3,1,1,3,1,4,2,3,2,2,1,1,1,1
16,2,,2,1,2,,3,2,1,1,2,4,3,1,2,2,1,1,3,1
17,2,3,2,1,2,3,3,2,1,3,4,4,2,1,2,2,3,3,,2
18,3,3,2,1,2,3,3,3,1,3,1,2,3,3,3,2,1,1,1,1
19,3,,2,1,2,3,1,3,1,2,1,4,3,1,3,2,1,1,1,1
20,2,,2,1,1,2,3,2,1,3,4,4,3,1,3,2,1,1,1,1
21,2,,2,1,2,,3,3,1,3,4,4,2,3,2,2,1,1,1,1
22,2,,2,1,2,,3,3,1,3,4,4,2,3,2,2,1,1,1,1
23,,,2,1,2,,3,3,1,3,4,4,2,3,2,2,1,,1,1
24,3,,2,1,2,1,3,3,1,3,1,4,2,1,3,1,1,1,1,1
25,2,1,2,1,2,2,1,3,3,3,2,4,,1,2,2,1,1,1,1
